well_number,completed_depth_ft,deepest_logged_depth_ft,interval_count
MORR_0000535,996.0,996.0,2
MORR_0000600,383.0,383.0,10
MORR_0000649,110.0,110.0,6
MORR_0000834,115.0,115.0,6
MORR_0000871,102.0,102.0,4
MORR_0001107,60.0,60.0,5
MORR_0001471,91.0,91.0,4
MORR_0001578,123.0,123.0,6
MORR_0050635,48.0,48.0,3
MORR_0050661,35.0,35.0,1
MORR_0051158,160.0,160.0,5
MORR_0051375,138.0,138.0,4
MORR_0051379,143.0,143.0,9
MORR_0051420,210.0,210.0,8
MORR_0051422,110.0,110.0,3
MORR_0051427,53.0,53.0,2
MORR_0051515,83.0,83.0,1
MORR_0051529,88.0,88.0,2
MORR_0051531,160.0,160.0,8
MORR_0051538,142.0,142.0,5
MORR_0051543,97.0,97.0,1
MORR_0051544,122.0,122.0,6
MORR_0051545,85.0,85.0,1
MORR_0051677,25.0,25.0,2
MORR_0051678,20.0,20.0,2
MORR_0051682,30.0,30.0,1
MORR_0051683,25.0,25.0,1
MORR_0051684,20.0,20.0,1
MORR_0051685,45.0,45.0,1
MORR_0051686,55.0,55.0,3
MORR_0051687,55.0,55.0,3
MORR_0051688,51.0,51.0,2
MORR_0051689,55.0,55.0,3
MORR_0051718,340.0,340.0,8
MORR_0051735,126.0,126.0,8
MORR_0051741,60.0,59.0,4
MORR_0051742,125.0,125.0,7
MORR_0051743,125.0,125.0,7
MORR_0051744,50.0,50.0,2
MORR_0051745,46.0,46.0,2
MORR_0051746,27.0,27.0,2
MORR_0051747,30.0,30.0,2
MORR_0051748,353.0,353.0,6
MORR_0051818,80.0,80.0,3
MORR_0051830,80.0,80.0,4
MORR_0051843,78.0,78.0,4
MORR_0051844,166.0,166.0,11
MORR_0051845,155.0,155.0,5
MORR_0051858,55.0,55.0,1
MORR_0051861,80.0,80.0,3
MORR_0051868,80.0,80.0,4
MORR_0051870,60.0,60.0,4
MORR_0051876,,344.0,5
MORR_0051877,305.0,305.0,12
MORR_0051878,,166.0,1
MORR_0051879,80.0,80.0,3
MORR_0051884,80.0,80.0,4
MORR_0051885,365.0,365.0,12
MORR_0051886,131.0,130.0,13
MORR_0051887,121.0,121.0,8
MORR_0051889,105.0,105.0,7
MORR_0051895,340.0,340.0,5
MORR_0051913,30.0,30.0,2
MORR_0051914,30.0,30.0,2
MORR_0051915,30.0,30.0,2
MORR_0051916,30.0,30.0,2
MORR_0051917,30.0,30.0,2
MORR_0051918,25.0,25.0,2
MORR_0051919,80.0,80.0,4
MORR_0051933,570.0,570.0,13
MORR_0051934,144.0,144.0,7
MORR_0051935,38.0,38.0,3
MORR_0051936,59.0,58.6,4
MORR_0051945,28.0,28.0,2
MORR_0051946,28.0,28.0,2
MORR_0051947,29.0,29.0,2
MORR_0051954,40.0,40.0,3
MORR_0051955,40.0,40.0,3
MORR_0051956,40.0,40.0,3
MORR_0051957,40.0,40.0,3
MORR_0051958,40.0,40.0,3
MORR_0051959,40.0,40.0,3
MORR_0051960,40.0,40.0,3
MORR_0051961,40.0,40.0,3
MORR_0051962,40.0,40.0,3
MORR_0051963,40.0,40.0,3
MORR_0051964,40.0,40.0,1
MORR_0051965,40.0,40.0,1
MORR_0051966,40.0,40.0,1
MORR_0051967,40.0,40.0,1
MORR_0051968,40.0,40.0,1
MORR_0051969,25.0,25.0,1
MORR_0051970,25.0,25.0,1
MORR_0051980,76.0,76.0,2
MORR_0051982,80.0,80.0,3
MORR_0051983,60.0,60.0,3
MORR_0051986,80.0,80.0,4
MORR_0051997,260.0,260.0,7
MORR_0051999,40.0,40.0,1
MORR_0052000,40.0,40.0,1
MORR_0052001,40.0,40.0,1
MORR_0052002,40.0,40.0,1
MORR_0052003,40.0,40.0,1
MORR_0052011,103.0,103.0,5
MORR_0052012,25.0,25.0,1
MORR_0052013,25.0,25.0,1
MORR_0052014,25.0,25.0,1
MORR_0052015,25.0,25.0,1
MORR_0052016,25.0,25.0,1
MORR_0052023,160.0,160.0,9
MORR_0052028,80.0,80.0,4
MORR_0052038,646.0,646.0,8
MORR_0052039,330.0,330.0,1
MORR_0052040,35.0,35.0,3
MORR_0052041,25.0,25.0,2
MORR_0052042,25.0,25.0,2
MORR_0052043,25.0,25.0,2
MORR_0052044,30.0,30.0,3
MORR_0052047,30.0,30.0,1
MORR_0052048,30.0,30.0,1
MORR_0052049,25.0,25.0,1
MORR_0052050,30.0,30.0,1
MORR_0052051,25.0,25.0,1
MORR_0052053,30.0,30.0,1
MORR_0052054,30.0,30.0,1
MORR_0052055,30.0,30.0,1
MORR_0052056,33.0,32.5,2
MORR_0052057,38.0,37.5,2
MORR_0052058,40.0,40.0,1
MORR_0052059,30.0,30.0,1
MORR_0052060,30.0,30.0,1
MORR_0052061,25.0,25.0,1
MORR_0052062,40.0,40.0,1
MORR_0052063,25.0,25.0,1
MORR_0052064,40.0,40.0,1
MORR_0052065,40.0,40.0,1
MORR_0052067,44.0,44.0,1
MORR_0052068,105.0,105.0,8
MORR_0052069,305.0,305.0,14
MORR_0052108,282.0,282.0,5
MORR_0052112,57.0,57.0,4
MORR_0052113,30.0,30.0,2
MORR_0052114,30.0,30.0,2
MORR_0052115,50.0,50.0,4
MORR_0052116,50.0,50.0,4
MORR_0052117,50.0,50.0,4
MORR_0052118,50.0,50.0,4
MORR_0052119,50.0,50.0,4
MORR_0052120,19.0,19.0,3
MORR_0052121,45.0,45.0,5
MORR_0052122,17.0,17.0,3
MORR_0052123,50.0,50.0,4
MORR_0052124,49.0,49.0,4
MORR_0052125,49.0,49.0,4
MORR_0052126,49.0,49.0,4
MORR_0052127,46.0,46.0,4
MORR_0052128,50.0,50.0,4
MORR_0052129,30.0,30.0,2
MORR_0052139,78.0,78.0,7
MORR_0052141,53.0,53.0,4
MORR_0052142,267.0,267.0,5
MORR_0052144,35.0,35.0,2
MORR_0052145,24.0,24.0,2
MORR_0052146,18.0,18.0,2
MORR_0052147,40.0,40.0,1
MORR_0052148,29.0,29.0,2
MORR_0052149,15.0,15.0,3
MORR_0052150,15.0,15.0,3
MORR_0052151,15.0,15.0,3
MORR_0052152,15.0,15.0,3
MORR_0052153,15.0,15.0,3
MORR_0052154,15.0,15.0,3
MORR_0052155,15.0,15.0,3
MORR_0052156,15.0,15.0,3
MORR_0052157,15.0,15.0,1
MORR_0052158,20.0,20.0,3
MORR_0052159,25.0,25.0,1
MORR_0052160,15.0,15.0,2
MORR_0052161,15.0,15.0,2
MORR_0052162,15.0,15.0,2
MORR_0052163,15.0,15.0,2
MORR_0052164,15.0,15.0,2
MORR_0052165,5.0,5.0,1
MORR_0052166,5.0,5.0,1
MORR_0052167,5.0,5.0,1
MORR_0052168,5.0,5.0,1
MORR_0052169,5.0,5.0,1
MORR_0052170,5.0,5.0,1
MORR_0052171,5.0,5.0,1
MORR_0052172,5.0,5.0,1
MORR_0052173,60.0,60.0,3
MORR_0052182,15.0,15.0,2
MORR_0052183,15.0,15.0,2
MORR_0052184,15.0,15.0,2
MORR_0052185,15.0,15.0,2
MORR_0052186,30.0,30.0,2
MORR_0052187,35.0,35.0,2
MORR_0052188,50.0,50.0,2
MORR_0052189,35.0,35.0,2
MORR_0052190,80.0,80.0,1
MORR_0052191,27.0,27.0,1
MORR_0052192,50.0,50.0,1
MORR_0052193,46.0,46.0,1
MORR_0052195,105.0,105.0,8
MORR_0052196,27.0,27.0,2
MORR_0052197,47.0,47.0,6
MORR_0052198,49.0,49.0,2
MORR_0052199,38.0,38.0,2
